ticker,date,actual,t1,t3,t5
BA,2020-11-20,199.62,143.46785167636295,143.46785167636295,143.46785167636295
BA,2020-11-23,211.53,143.3703008779532,143.3703008779532,143.3703008779532
BA,2020-11-24,218.49,143.37790120834882,143.37790120834882,143.37790120834882
BA,2020-11-25,217.61,143.4352348860303,143.4352348860303,143.4352348860303
BA,2020-11-27,216.5,143.3703006414406,143.3703006414406,143.3703006414406
BA,2020-11-30,210.71,143.63502739139005,143.63502739139005,143.63502739139005
BA,2020-12-01,213.01,143.67150951930637,143.67150951930637,143.67150951930637
BA,2020-12-02,223.85,143.40717929738088,143.40717929738088,143.40717929738088
BA,2020-12-03,237.2,143.41857996278682,143.41857996278682,143.41857996278682
BA,2020-12-04,232.71,143.48486905125645,143.48486905125645,143.48486905125645
BA,2020-12-07,238.17,143.3703006211154,143.3703006211154,143.3703006211154
BA,2020-12-08,236.57,143.28087974660187,143.28087974660187,143.28087974660187
BA,2020-12-09,232.06,143.1966139557929,143.1966139557929,143.1966139557929
BA,2020-12-10,234.43,143.3140573363762,143.3140573363762,143.3140573363762
BA,2020-12-11,230.33,143.37030062105765,143.37030062105765,143.37030062105765
BA,2020-12-14,228.62,143.37030062105683,143.37030062105683,143.37030062105683
BA,2020-12-15,229.5,143.37030062105663,143.37030062105663,143.37030062105663
BA,2020-12-16,225.87,143.5090582899068,143.5090582899068,143.5090582899068
BA,2020-12-17,221.24,143.59857830060344,143.59857830060344,143.59857830060344
BA,2020-12-18,219.75,143.5390304751049,143.5390304751049,143.5390304751049
BA,2020-12-21,219.31,143.37030062105646,143.37030062105646,143.37030062105646
BA,2020-12-22,218.78,143.2484291557743,143.2484291557743,143.2484291557743
BA,2020-12-23,219.69,143.50958701643722,143.50958701643722,143.50958701643722
BA,2020-12-24,217.15,143.37030062105646,143.37030062105646,143.37030062105646
BA,2020-12-28,216.09,143.37030062105646,143.37030062105646,
BA,2020-12-29,216.25,143.3873190062572,143.3873190062572,
BA,2020-12-30,216.67,143.37030062105646,,
BA,2020-12-31,214.06,143.37030062105646,,
DIS,2020-11-02,120.13,121.60637585323049,121.60637585323049,121.60637585323049
DIS,2020-11-03,124.02,121.5826001415596,121.5826001415596,121.5826001415596
DIS,2020-11-04,125.07,121.30605649712662,121.30605649712662,121.30605649712662
DIS,2020-11-05,126.96,121.29938437655308,121.29938437655308,121.29938437655308
DIS,2020-11-06,127.46,121.51171002466603,121.51171002466603,121.51171002466603
DIS,2020-11-09,142.59,121.53602541410581,121.53602541410581,121.53602541410581
DIS,2020-11-10,142.11,121.37473884098029,121.37473884098029,121.37473884098029
DIS,2020-11-11,137.82,121.34144884621342,121.34144884621342,121.34144884621342
DIS,2020-11-12,135.52,121.51204382941307,121.51204382941307,121.51204382941307
DIS,2020-11-13,138.36,121.4444027336435,121.4444027336435,121.4444027336435
DIS,2020-11-16,144.67,121.40920537587088,121.40920537587088,121.40920537587088
DIS,2020-11-17,144.5,121.74642658372484,121.74642658372484,121.74642658372484
DIS,2020-11-18,143.9,121.43893064809477,121.43893064809477,121.43893064809477
DIS,2020-11-19,141.72,121.47283725495426,121.47283725495426,121.47283725495426
DIS,2020-11-20,141.07,121.42506884052568,121.42506884052568,121.42506884052568
DIS,2020-11-23,145.98,121.39464738174225,121.39464738174225,121.39464738174225
DIS,2020-11-24,151.49,121.42867949243696,121.42867949243696,121.42867949243696
DIS,2020-11-25,149.09,121.45517679895755,121.45517679895755,121.45517679895755
DIS,2020-11-27,147.13,121.43136668506402,121.43136668506402,121.43136668506402
DIS,2020-11-30,148.01,121.40881412135509,121.40881412135509,121.40881412135509
DIS,2020-12-01,149.44,121.42510998364632,121.42510998364632,121.42510998364632
DIS,2020-12-02,153.61,121.44394652500893,121.44394652500893,121.44394652500893
DIS,2020-12-03,153.24,121.43310071037172,121.43310071037172,121.43310071037172
DIS,2020-12-04,154.14,121.41761763792994,121.41761763792994,121.41761763792994
DIS,2020-12-07,153.68,121.4245700177495,121.4245700177495,121.4245700177495
DIS,2020-12-08,153.72,121.43711937342026,121.43711937342026,121.43711937342026
DIS,2020-12-09,154.43,121.47001079314724,121.47001079314724,121.47001079314724
DIS,2020-12-10,154.69,121.94635177300258,121.94635177300258,121.94635177300258
DIS,2020-12-11,175.72,121.36770468393517,121.36770468393517,121.36770468393517
DIS,2020-12-14,169.3,121.43314262893365,121.43314262893365,121.43314262893365
DIS,2020-12-15,173.94,121.43205719156263,121.43205719156263,121.43205719156263
DIS,2020-12-16,173.12,121.81377675794221,121.81377675794221,121.81377675794221
DIS,2020-12-17,173.55,121.42611634399492,121.42611634399492,121.42611634399492
DIS,2020-12-18,172.89,121.43092660652339,121.43092660652339,121.43092660652339
DIS,2020-12-21,170.69,121.43114983907982,121.43114983907982,121.43114983907982
DIS,2020-12-22,170.45,121.42746627944793,121.42746627944793,121.42746627944793
DIS,2020-12-23,173.55,121.42696168479914,121.42696168479914,121.42696168479914
DIS,2020-12-24,173.73,121.42975231143305,121.42975231143305,121.42975231143305
DIS,2020-12-28,178.86,121.43039289111363,121.43039289111363,
DIS,2020-12-29,177.3,121.42830207232728,121.42830207232728,
DIS,2020-12-30,181.17,121.23956537051832,,
DIS,2020-12-31,181.18,121.42916824361653,,
AMZN,2020-11-02,150.224,153.3438212758411,153.3438212758411,153.3438212758411
AMZN,2020-11-03,152.4205,151.92964104315882,151.92964104315882,151.92964104315882
AMZN,2020-11-04,162.058,152.80237773493448,152.80237773493448,152.80237773493448
AMZN,2020-11-05,166.1,152.94022451081173,152.94022451081173,152.94022451081173
AMZN,2020-11-06,165.5685,152.07428509816125,152.07428509816125,152.07428509816125
AMZN,2020-11-09,157.187,153.11366004839292,153.11366004839292,153.11366004839292
AMZN,2020-11-10,151.751,152.120580028643,152.120580028643,152.120580028643
AMZN,2020-11-11,156.8695,153.12483566092044,153.12483566092044,153.12483566092044
AMZN,2020-11-12,155.514,152.2343147372467,152.2343147372467,152.2343147372467
AMZN,2020-11-13,156.4405,152.63431626897065,152.63431626897065,152.63431626897065
AMZN,2020-11-16,156.553,152.57800478581578,152.57800478581578,152.57800478581578
AMZN,2020-11-17,156.783,152.48153367064955,152.48153367064955,152.48153367064955
AMZN,2020-11-18,155.273,152.77953432348505,152.77953432348505,152.77953432348505
AMZN,2020-11-19,155.851,152.2558293558166,152.2558293558166,152.2558293558166
AMZN,2020-11-20,154.97,152.50542481383317,152.50542481383317,152.50542481383317
AMZN,2020-11-23,154.9195,152.38550305137647,152.38550305137647,152.38550305137647
AMZN,2020-11-24,155.903,152.16330326588266,152.16330326588266,152.16330326588266
AMZN,2020-11-25,159.2535,152.5713157079622,152.5713157079622,152.5713157079622
AMZN,2020-11-27,159.767,152.4075981048963,152.4075981048963,152.4075981048963
AMZN,2020-11-30,158.402,152.66690426385804,152.66690426385804,152.66690426385804
AMZN,2020-12-01,161.004,152.6817083382043,152.6817083382043,152.6817083382043
AMZN,2020-12-02,160.1765,152.48098114666243,152.48098114666243,152.48098114666243
AMZN,2020-12-03,159.3365,152.67516047114472,152.67516047114472,152.67516047114472
AMZN,2020-12-04,158.129,152.53128868791526,152.53128868791526,152.53128868791526
AMZN,2020-12-07,157.9,152.55842940364755,152.55842940364755,152.55842940364755
AMZN,2020-12-08,158.8645,152.67221088396477,152.67221088396477,152.67221088396477
AMZN,2020-12-09,155.21,152.3440032653601,152.3440032653601,152.3440032653601
AMZN,2020-12-10,155.0745,152.46472700669645,152.46472700669645,152.46472700669645
AMZN,2020-12-11,155.821,152.57695164730947,152.57695164730947,152.57695164730947
AMZN,2020-12-14,157.8485,152.4941276305138,152.4941276305138,152.4941276305138
AMZN,2020-12-15,158.256,152.73516598085112,152.73516598085112,152.73516598085112
AMZN,2020-12-16,162.048,152.56312100386617,152.56312100386617,152.56312100386617
AMZN,2020-12-17,161.804,152.86605673607227,152.86605673607227,152.86605673607227
AMZN,2020-12-18,160.0825,152.68850243093755,152.68850243093755,152.68850243093755
AMZN,2020-12-21,160.309,152.48253939048408,152.48253939048408,152.48253939048408
AMZN,2020-12-22,160.326,152.54022422677053,152.54022422677053,152.54022422677053
AMZN,2020-12-23,159.2635,152.32335823990417,152.32335823990417,152.32335823990417
AMZN,2020-12-24,158.6345,152.51777105228976,152.51777105228976,152.51777105228976
AMZN,2020-12-28,164.198,152.53770298454035,152.53770298454035,
AMZN,2020-12-29,166.1,152.48125232984012,152.48125232984012,
AMZN,2020-12-30,164.2925,152.54574970376171,,
AMZN,2020-12-31,162.8465,152.86470861772602,,
